NALT_URI	Label
https://lod.nal.usda.gov/nalt/10124	nutrition indexes
https://lod.nal.usda.gov/nalt/10124	nutrition indices
https://lod.nal.usda.gov/nalt/10124	nutrition screening
https://lod.nal.usda.gov/nalt/10124	nutritional assessment
https://lod.nal.usda.gov/nalt/10124	nutritional indexes
https://lod.nal.usda.gov/nalt/10124	nutritional indices
https://lod.nal.usda.gov/nalt/10124	prognostic nutritional index
https://lod.nal.usda.gov/nalt/10125	skin fold thickness
https://lod.nal.usda.gov/nalt/10127	Anthurium andreanum
https://lod.nal.usda.gov/nalt/10129	common kidneyvetch
https://lod.nal.usda.gov/nalt/10129	kidney vetch
https://lod.nal.usda.gov/nalt/10133	anti-arrhythmia agents
https://lod.nal.usda.gov/nalt/10133	antiarrhythmia agents
https://lod.nal.usda.gov/nalt/10133	antiarrhythmic agents
https://lod.nal.usda.gov/nalt/10135	anti-diarrhea effect
https://lod.nal.usda.gov/nalt/10135	anti-diarrheal effect
https://lod.nal.usda.gov/nalt/10135	anti-diarrhoeal effect
https://lod.nal.usda.gov/nalt/10135	antidiarrheal activity
https://lod.nal.usda.gov/nalt/10135	antidiarrheal properties
https://lod.nal.usda.gov/nalt/10135	antidiarrhoeal activity
https://lod.nal.usda.gov/nalt/10135	antidiarrhoeal effect
https://lod.nal.usda.gov/nalt/10139	anti-emetics
https://lod.nal.usda.gov/nalt/10139	antiemetic agents
https://lod.nal.usda.gov/nalt/10139	antiemetic drugs
https://lod.nal.usda.gov/nalt/1014	air transport
https://lod.nal.usda.gov/nalt/1014	air travel
https://lod.nal.usda.gov/nalt/1014	aviation transport
https://lod.nal.usda.gov/nalt/1014	aviation transportation
https://lod.nal.usda.gov/nalt/1014	jets (transportation)
https://lod.nal.usda.gov/nalt/1014	shipping (by air)
https://lod.nal.usda.gov/nalt/10142	antiinfective activity
https://lod.nal.usda.gov/nalt/10142	antiinfective properties
https://lod.nal.usda.gov/nalt/10143	anti-inflammatory effects
https://lod.nal.usda.gov/nalt/10143	anti-inflammatory factors
https://lod.nal.usda.gov/nalt/10143	anti-inflammatory potential
https://lod.nal.usda.gov/nalt/10143	anti-inflammatory properties
https://lod.nal.usda.gov/nalt/10143	antiinflammatory activity
https://lod.nal.usda.gov/nalt/10143	antiinflammatory effects
https://lod.nal.usda.gov/nalt/10143	antiinflammatory factors
https://lod.nal.usda.gov/nalt/10143	antiinflammatory properties
https://lod.nal.usda.gov/nalt/10149	anti-inflammatory drugs
https://lod.nal.usda.gov/nalt/10149	antiinflammatory agents
https://lod.nal.usda.gov/nalt/1015	containerisation (cargo)
https://lod.nal.usda.gov/nalt/1015	containerization (cargo)
https://lod.nal.usda.gov/nalt/10154	flumetasone
https://lod.nal.usda.gov/nalt/10155	glycyrrhizic acid
https://lod.nal.usda.gov/nalt/10155	glycyrrhizinic acid
https://lod.nal.usda.gov/nalt/10156	indometacin
https://lod.nal.usda.gov/nalt/10158	NSAIDs (nonsteroidal anti-inflammatory agents)
https://lod.nal.usda.gov/nalt/10158	NSAIDs (nonsteroidal anti-inflammatory drugs)
https://lod.nal.usda.gov/nalt/10158	non-steroidal anti-inflammatory agents
https://lod.nal.usda.gov/nalt/10158	non-steroidal anti-inflammatory drugs
https://lod.nal.usda.gov/nalt/10158	non-steroidal antiinflammatory agents
https://lod.nal.usda.gov/nalt/10158	non-steroidal antiinflammatory drugs
https://lod.nal.usda.gov/nalt/10158	nonsteroidal anti-inflammatory drugs
https://lod.nal.usda.gov/nalt/10158	nonsteroidal antiinflammatory agents
https://lod.nal.usda.gov/nalt/1016	land transport
https://lod.nal.usda.gov/nalt/1016	shipping (by land)
https://lod.nal.usda.gov/nalt/10160	anti-ulcer effect
https://lod.nal.usda.gov/nalt/10160	anti-ulcerogenic activity
