NALT_URI	Label
https://lod.nal.usda.gov/nalt/10129	Anthyllis vulneraria
https://lod.nal.usda.gov/nalt/10133	myocardial depressants
https://lod.nal.usda.gov/nalt/10135	antidiarrheal effect
https://lod.nal.usda.gov/nalt/10139	antiemetics
https://lod.nal.usda.gov/nalt/1014	air transportation
https://lod.nal.usda.gov/nalt/10142	anti-infective properties
https://lod.nal.usda.gov/nalt/10143	anti-inflammatory activity
https://lod.nal.usda.gov/nalt/10149	anti-inflammatory agents
https://lod.nal.usda.gov/nalt/1015	container transport
https://lod.nal.usda.gov/nalt/10152	betamethasone
https://lod.nal.usda.gov/nalt/10153	dexamethasone
https://lod.nal.usda.gov/nalt/10154	flumethasone
https://lod.nal.usda.gov/nalt/10155	glycyrrhizin
https://lod.nal.usda.gov/nalt/10156	indomethacin
https://lod.nal.usda.gov/nalt/10157	meloxicam
https://lod.nal.usda.gov/nalt/10158	nonsteroidal anti-inflammatory agents
https://lod.nal.usda.gov/nalt/10159	triamcinolone
https://lod.nal.usda.gov/nalt/1016	land transportation
https://lod.nal.usda.gov/nalt/10160	anti-ulcer activity
https://lod.nal.usda.gov/nalt/1017	water transportation
https://lod.nal.usda.gov/nalt/10170	peptic ulcers
https://lod.nal.usda.gov/nalt/10174	antibacterial plants
https://lod.nal.usda.gov/nalt/10175	medicinal plants
https://lod.nal.usda.gov/nalt/10177	antibacterial properties
https://lod.nal.usda.gov/nalt/10178	antibacterial proteins
https://lod.nal.usda.gov/nalt/10179	antibiosis
https://lod.nal.usda.gov/nalt/10180	resistance mechanisms
https://lod.nal.usda.gov/nalt/10181	antibiotic residues
https://lod.nal.usda.gov/nalt/10183	drug residues
https://lod.nal.usda.gov/nalt/10184	antibiotic resistance
https://lod.nal.usda.gov/nalt/10185	minimum inhibitory concentration
https://lod.nal.usda.gov/nalt/10186	antibiotics
https://lod.nal.usda.gov/nalt/10187	antimycin A
https://lod.nal.usda.gov/nalt/10188	apramycin
https://lod.nal.usda.gov/nalt/10189	avoparcin
https://lod.nal.usda.gov/nalt/1019	therapeutics
https://lod.nal.usda.gov/nalt/10190	bambermycin
https://lod.nal.usda.gov/nalt/10191	beta-lactam antibiotics
https://lod.nal.usda.gov/nalt/10192	blasticidin S
https://lod.nal.usda.gov/nalt/10193	cefazolin
https://lod.nal.usda.gov/nalt/10194	cephalosporins
https://lod.nal.usda.gov/nalt/10195	chloramphenicol
https://lod.nal.usda.gov/nalt/10196	citrinin
https://lod.nal.usda.gov/nalt/10197	clindamycin
https://lod.nal.usda.gov/nalt/10198	cycloserine
https://lod.nal.usda.gov/nalt/10199	cyclosporins
https://lod.nal.usda.gov/nalt/102	Rheiformes
https://lod.nal.usda.gov/nalt/1020	acute effects
https://lod.nal.usda.gov/nalt/10200	dihydrostreptomycin
https://lod.nal.usda.gov/nalt/10201	gramicidin
https://lod.nal.usda.gov/nalt/10202	lincomycin
https://lod.nal.usda.gov/nalt/10203	narasin
https://lod.nal.usda.gov/nalt/10204	nigericin
https://lod.nal.usda.gov/nalt/10205	novobiocin
https://lod.nal.usda.gov/nalt/10206	peptide antibiotics
https://lod.nal.usda.gov/nalt/10207	polymyxin B
https://lod.nal.usda.gov/nalt/10208	rifamycins
https://lod.nal.usda.gov/nalt/10209	spectinomycin
https://lod.nal.usda.gov/nalt/1021	long term effects
https://lod.nal.usda.gov/nalt/10210	tetracyclines
https://lod.nal.usda.gov/nalt/10211	tobramycin
https://lod.nal.usda.gov/nalt/10212	tunicamycin
https://lod.nal.usda.gov/nalt/10213	validamycins
https://lod.nal.usda.gov/nalt/10214	valinomycin
https://lod.nal.usda.gov/nalt/10215	virginiamycin
https://lod.nal.usda.gov/nalt/10216	protein synthesis inhibitors
https://lod.nal.usda.gov/nalt/10217	antibloat agents
https://lod.nal.usda.gov/nalt/10218	antibodies
https://lod.nal.usda.gov/nalt/10219	autoantibodies
https://lod.nal.usda.gov/nalt/1022	residual effects
https://lod.nal.usda.gov/nalt/10220	monoclonal antibodies
https://lod.nal.usda.gov/nalt/10221	opsonins
https://lod.nal.usda.gov/nalt/10222	polyclonal antibodies
https://lod.nal.usda.gov/nalt/10223	recombinant antibodies
https://lod.nal.usda.gov/nalt/10224	antibody detection
https://lod.nal.usda.gov/nalt/10225	antiserum
https://lod.nal.usda.gov/nalt/10226	seroprevalence
https://lod.nal.usda.gov/nalt/10230	antibody formation
https://lod.nal.usda.gov/nalt/10232	immune response
https://lod.nal.usda.gov/nalt/10233	humoral immunity
https://lod.nal.usda.gov/nalt/10236	anticarcinogenic activity
https://lod.nal.usda.gov/nalt/1024	gamma-Proteobacteria
https://lod.nal.usda.gov/nalt/10240	bioactive properties
https://lod.nal.usda.gov/nalt/10242	Anticarsia
https://lod.nal.usda.gov/nalt/10243	Anticarsia gemmatalis
https://lod.nal.usda.gov/nalt/10245	Anticarsia gemmatalis multiple nucleopolyhedrovirus
https://lod.nal.usda.gov/nalt/10246	Nucleopolyhedrovirus
https://lod.nal.usda.gov/nalt/10248	anticholesteremic agents
https://lod.nal.usda.gov/nalt/10249	antilipemic agents
https://lod.nal.usda.gov/nalt/1025	Acidithiobacillus
https://lod.nal.usda.gov/nalt/10250	lovastatin
https://lod.nal.usda.gov/nalt/10251	cholesteremic effect
https://lod.nal.usda.gov/nalt/10252	hypercholesterolemia
https://lod.nal.usda.gov/nalt/10254	antimutagenic activity
https://lod.nal.usda.gov/nalt/10255	Anticlea
https://lod.nal.usda.gov/nalt/10256	Anticlea elegans
https://lod.nal.usda.gov/nalt/1026	Nitrosococcus
https://lod.nal.usda.gov/nalt/10260	anticoagulants
https://lod.nal.usda.gov/nalt/10261	anticoagulant activity
https://lod.nal.usda.gov/nalt/10264	blood coagulation
https://lod.nal.usda.gov/nalt/10265	heparin
https://lod.nal.usda.gov/nalt/10266	warfarin
https://lod.nal.usda.gov/nalt/10267	coumarins
https://lod.nal.usda.gov/nalt/10269	coccidiostats
https://lod.nal.usda.gov/nalt/1027	Oceanimonas
https://lod.nal.usda.gov/nalt/10271	anticonvulsants
https://lod.nal.usda.gov/nalt/10272	phenobarbital
https://lod.nal.usda.gov/nalt/10273	phenytoin
https://lod.nal.usda.gov/nalt/10274	valproic acid
https://lod.nal.usda.gov/nalt/10275	barbiturates
https://lod.nal.usda.gov/nalt/10276	epilepsy
https://lod.nal.usda.gov/nalt/10278	antidepressants
