NALT_URI	Label
https://lod.nal.usda.gov/nalt/1027	Oceanomonas
https://lod.nal.usda.gov/nalt/10271	antiepileptic agents
https://lod.nal.usda.gov/nalt/10278	antidepressant drugs
https://lod.nal.usda.gov/nalt/10280	depressive disorder
https://lod.nal.usda.gov/nalt/10283	antidiabetic agents
https://lod.nal.usda.gov/nalt/10285	diarrheal illness
https://lod.nal.usda.gov/nalt/1029	Actinomycetes
https://lod.nal.usda.gov/nalt/10290	antidiuretic hormone
https://lod.nal.usda.gov/nalt/10302	control measures
https://lod.nal.usda.gov/nalt/10303	antifeedant activity
https://lod.nal.usda.gov/nalt/10311	birth control
https://lod.nal.usda.gov/nalt/10323	rumensin
https://lod.nal.usda.gov/nalt/10329	propanoic acid
https://lod.nal.usda.gov/nalt/10331	anti-yeast activity
https://lod.nal.usda.gov/nalt/10336	antigen antibody complex
https://lod.nal.usda.gov/nalt/10338	antigen testing
https://lod.nal.usda.gov/nalt/10341	cell mediated immunity
https://lod.nal.usda.gov/nalt/10342	antigen presenting cells
https://lod.nal.usda.gov/nalt/10345	Type III hypersensitivity
https://lod.nal.usda.gov/nalt/10346	cross reactivity
https://lod.nal.usda.gov/nalt/10349	antigenic determinants
https://lod.nal.usda.gov/nalt/10350	antigenic diversity
https://lod.nal.usda.gov/nalt/10351	genetic differentiation
https://lod.nal.usda.gov/nalt/10353	serogroups
https://lod.nal.usda.gov/nalt/10360	ectoantigens
https://lod.nal.usda.gov/nalt/10368	cell surface antigens
https://lod.nal.usda.gov/nalt/10371	Antigua
https://lod.nal.usda.gov/nalt/10376	antihistaminics
https://lod.nal.usda.gov/nalt/10383	antihypertensive activity
https://lod.nal.usda.gov/nalt/10384	anti-hypertensive agents
https://lod.nal.usda.gov/nalt/10391	high blood pressure
https://lod.nal.usda.gov/nalt/104	owls
https://lod.nal.usda.gov/nalt/10402	dyslipidemia
https://lod.nal.usda.gov/nalt/10403	hyperlipemic activity
https://lod.nal.usda.gov/nalt/10408	pronghorn
https://lod.nal.usda.gov/nalt/10411	pyrrhocorid bugs
https://lod.nal.usda.gov/nalt/10414	anti-malarials
https://lod.nal.usda.gov/nalt/10419	fanasil
https://lod.nal.usda.gov/nalt/1042	Betaproteobacteria
https://lod.nal.usda.gov/nalt/10422	antiviral drugs
https://lod.nal.usda.gov/nalt/10426	ceftiofur hydrochloride
https://lod.nal.usda.gov/nalt/10428	ciprofloxacin hydrochloride
https://lod.nal.usda.gov/nalt/10438	sulfadimethazine
https://lod.nal.usda.gov/nalt/10450	antibacterial peptides
https://lod.nal.usda.gov/nalt/10462	cis-diamminedichloroplatinum
https://lod.nal.usda.gov/nalt/10464	adriamycin
https://lod.nal.usda.gov/nalt/10466	5-fluorouracil
https://lod.nal.usda.gov/nalt/10467	MGA (melengesterol acetate)
https://lod.nal.usda.gov/nalt/10475	antinutritive factors
https://lod.nal.usda.gov/nalt/10478	phytoconstituents
https://lod.nal.usda.gov/nalt/10482	food control
https://lod.nal.usda.gov/nalt/104838	Callitris hugelli
https://lod.nal.usda.gov/nalt/104847	Lewis' flax
https://lod.nal.usda.gov/nalt/104849	Norwalk-like viruses
https://lod.nal.usda.gov/nalt/10485	natural toxins
https://lod.nal.usda.gov/nalt/104854	Sapporo-like viruses
https://lod.nal.usda.gov/nalt/104857	endemic species
https://lod.nal.usda.gov/nalt/10486	biologic nutritional availability
https://lod.nal.usda.gov/nalt/104860	fishing overexploitation
https://lod.nal.usda.gov/nalt/104863	ecosystem goods and services
https://lod.nal.usda.gov/nalt/10487	phytate
https://lod.nal.usda.gov/nalt/104870	autopsies
https://lod.nal.usda.gov/nalt/104879	cacao nibs
https://lod.nal.usda.gov/nalt/10489	antioxidant defence
https://lod.nal.usda.gov/nalt/104890	baking chocolate
https://lod.nal.usda.gov/nalt/10490	lipid oxidation
https://lod.nal.usda.gov/nalt/104900	rogue removal
https://lod.nal.usda.gov/nalt/104904	CWD (coarse woody debris)
https://lod.nal.usda.gov/nalt/10491	BHA (butylated hydroxyanisole)
https://lod.nal.usda.gov/nalt/104911	sourbush seed fly
https://lod.nal.usda.gov/nalt/104914	Aleurocanthus spinifera
https://lod.nal.usda.gov/nalt/104918	Bactrocera tau
https://lod.nal.usda.gov/nalt/10492	BHT (butylated hydroxytoluene)
https://lod.nal.usda.gov/nalt/104922	lantana leafmining fly
https://lod.nal.usda.gov/nalt/104926	gray pineapple mealybug
https://lod.nal.usda.gov/nalt/104930	lantana seed fly
https://lod.nal.usda.gov/nalt/104932	banana moth
https://lod.nal.usda.gov/nalt/104934	Gentiana scandens
https://lod.nal.usda.gov/nalt/104945	twospotted leafhopper
https://lod.nal.usda.gov/nalt/104954	brown sowthistle aphid
https://lod.nal.usda.gov/nalt/104958	Crepis japonica
https://lod.nal.usda.gov/nalt/104963	Oedaspis leucotricha
https://lod.nal.usda.gov/nalt/104969	nettle caterpillar
https://lod.nal.usda.gov/nalt/104973	Truk
https://lod.nal.usda.gov/nalt/104974	Ponape
https://lod.nal.usda.gov/nalt/104976	O'ahu
https://lod.nal.usda.gov/nalt/104978	Big Island of Hawaii
