Label	Nalt_URI
cotton modules	
cotton bales	
round module baler	
color grade (cotton)	
staple length (cotton)	
bundle strength (cotton)	
leaf grade (cotton)	
extraneous matter (cotton)	
length uniformity index (cotton)	
seed cotton yield	
seed cotton yield (harvested biomass)	
seed cotton yield (ginned lint)	
