Level	Label	1	2	3	4	5	6	7	8
2	semi-domestic animals		semi-domestic animals						
2	stray animals		stray animals						
2	transgenic animals		transgenic animals						
2	wild animals		wild animals						
2	wool producing animals		wool producing animals						
2	working animals		working animals						
2	vertebrates		vertebrates						
2	young animals		young animals						
2	zoo animals		zoo animals						
2	insects		insects						
1	animal behavior	animal behavior							
2	environmental enrichment		environmental enrichment						
3	manmade structures			manmade structures					
3	plants (botany)			plants (botany)					
2	animal exercise wheel		animal exercise wheel						
2	Boomer balls		Boomer balls						
2	feeding enrichment		feeding enrichment						
3	food puzzles			food puzzles					
3	forage boxes			forage boxes					
3	gum feeding			gum feeding					
2	manipulanda		manipulanda						
2	mirrors		mirrors						
3	looky lous			looky lous					
2	nestlets		nestlets						
2	music enrichment		music enrichment						
2	occupational enrichment		occupational enrichment						
2	physical enrichment		physical enrichment						
2	sensory enrichment		sensory enrichment						
2	social enrichment		social enrichment						
2	toys		toys						
2	abnormal behavior		abnormal behavior						
3	stereotyped behavior			stereotyped behavior					
2	activity budget		activity budget						
2	animal preferences		animal preferences						
2	displacement activities		displacement activities						
2	feeding behavior		feeding behavior						
3	browsing			browsing					
3	foraging			foraging					
3	gumivory			gumivory					
3	herbaceous browse			herbaceous browse					
2	maternal behavior		maternal behavior						
2	nesting behavior		nesting behavior						
2	social behavior		social behavior						
3	social dominance			social dominance					
3	social facilitation			social facilitation					
2	training (animals)		training (animals)						
3	operant conditioning			operant conditioning					
3	avoidance conditioning			avoidance conditioning					
3	positive reinforcement training			positive reinforcement training					
1	animal science	animal science							
2	zoology		zoology						
2	medical sciences		medical sciences						
3	pharmacology			pharmacology					
4	drug development				drug development				
4	medicinal properties				medicinal properties				
2	anthropology		anthropology						
3	human-animal relations			human-animal relations					
4	human-wildlife relations				human-wildlife relations				
2	agricultural sciences		agricultural sciences						
2	anatomy and morphology		anatomy and morphology						
2	medical and veterinary education		medical and veterinary education						
3	live tissue training			live tissue training					
3	cadaver			cadaver					
3	pulsatile fresh frozen human cadaver circulation model (PHCM)			pulsatile fresh frozen human cadaver circulation model (PHCM)					
3	manikins			manikins					
4	high fidelity simulation training				high fidelity simulation training				
3	plastination			plastination					
3	simulation training			simulation training					
3	Simulation-based trauma education (SBTE)			Simulation-based trauma education (SBTE)					
3	visual aids			visual aids					
4	audiovisuals				audiovisuals				
1	animal husbandry	animal husbandry							
2	facilities management		facilities management						
2	standard operating procedures		standard operating procedures						
2	animal handling		animal handling						
3	capture of animals			capture of animals					
2	cup handling		cup handling						
2	rat tickling		rat tickling						
2	restraint of animals		restraint of animals						
3	laboratory animal jackets			laboratory animal jackets					
3	laboratory animal undershirts			laboratory animal undershirts					
3	pole and collar technique			pole and collar technique					
3	primate chairs			primate chairs					
2	tunnel handling		tunnel handling						
2	animal housing		animal housing						
3	shade			shade					
3	environmental control systems			environmental control systems					
4	humidifiers				humidifiers				
4	lighting				lighting				
5	incandescent lighting					incandescent lighting			
5	fluorescent lighting					fluorescent lighting			
5	lamps					lamps			
6	incandescent lamps						incandescent lamps		
6	fluorescent lamps						fluorescent lamps		
5	supplementary lighting					supplementary lighting			
4	ventilation systems				ventilation systems				
3	animal pens			animal pens					
3	animal rooms			animal rooms					
3	animal space requirements			animal space requirements					
3	cages			cages					
4	cage design				cage design				
4	cage size				cage size				
4	enriched cages				enriched cages				
4	individually ventilated cages (IVC)				individually ventilated cages (IVC)				
4	standard cages				standard cages				
3	group housing			group housing					
4	pair housing				pair housing				
4	single-sex housing				single-sex housing				
5	bachelor groups					bachelor groups			
3	litter (bedding)			litter (bedding)					
3	nest boxes			nest boxes					
3	perches (animal housing)			perches (animal housing)					
3	stocking rate			stocking rate					
2	animal nutrition		animal nutrition						
3	feed intake			feed intake					
3	feeding methods			feeding methods					
4	feed deprivation				feed deprivation				
4	parenteral feeding				parenteral feeding				
2	animal breeding		animal breeding						
2	animal feeding		animal feeding						
3	feeding methods			feeding methods					
2	animal care		animal care						
1	laboratory animal procedures	laboratory animal procedures							
2	cryopreservation		cryopreservation						
2	animal identification		animal identification						
3	animal branding			animal branding					
3	bird banding			bird banding					
3	ear notching			ear notching					
3	ear tags			ear tags					
3	radio frequency identification			radio frequency identification					
3	tattooing			tattooing					
3	toe clipping			toe clipping					
2	blood transfusion		blood transfusion						
2	minimally-invasive methods		minimally-invasive methods						
2	noninvasive procedures		noninvasive procedures						
2	beak trimming		beak trimming						
2	blood sampling		blood sampling						
3	facial vein puncture			facial vein puncture					
3	femoral vein puncture			femoral vein puncture					
3	gingival vein puncture			gingival vein puncture					
3	saphenous vein puncture			saphenous vein puncture					
3	sublingual vein puncture			sublingual vein puncture					
3	submandibular vein puncture			submandibular vein puncture					
3	tail vein puncture			tail vein puncture					
2	buccal swabs		buccal swabs						
2	cerebrospinal fluid collection		cerebrospinal fluid collection						
2	fecal collection		fecal collection						
