Level	Label	1	2	3	4	5	6	7	8
3	sedatives			sedatives					
4	acepromazine				acepromazine				
4	azaperone				azaperone				
4	diazepam				diazepam				
4	detomidine				detomidine				
4	dexmedetomidine				dexmedetomidine				
4	etorphine				etorphine				
4	midazolam				midazolam				
4	pentobarbital				pentobarbital				
4	xylazine				xylazine				
4	zolazepam				zolazepam				
2	thermal stress		thermal stress						
3	cold stress			cold stress					
3	heat stress			heat stress					
2	water stress		water stress						
2	water deprivation		water deprivation						
2	morbidity		morbidity						
3	mortality			mortality					
2	animal use alternatives		animal use alternatives						
3	animal use reduction			animal use reduction					
3	animal use replacement			animal use replacement					
3	   absolute replacement			   absolute replacement					
3	   relative replacement			   relative replacement					
3	animal use refinement			animal use refinement					
2	animal welfare laws and regulations		animal welfare laws and regulations						
3	laws and regulations			laws and regulations					
4	Animal Welfare Act				Animal Welfare Act				
4	code of practice				code of practice				
4	Horse Protection Act				Horse Protection Act				
4	Humane Methods of Slaughter Act				Humane Methods of Slaughter Act				
4	standards and grades				standards and grades				
4	Twenty-Eight Hour Law				Twenty-Eight Hour Law				
3	government and administration			government and administration					
4	issues and policy				issues and policy				
3	animal law			animal law					
4	veterinary law				veterinary law				
2	animal welfare professionals		animal welfare professionals						
3	animal control officers			animal control officers					
3	animal breeders			animal breeders					
3	animal dealers			animal dealers					
3	health care workers			health care workers					
4	physicians				physicians				
5	surgeons					surgeons			
4	veterinarians				veterinarians				
3	inspectors (laboratory animal facilities)			inspectors (laboratory animal facilities)					
3	librarians			librarians					
3	scientists			scientists					
3	regulators (animal welfare)			regulators (animal welfare)					
3	researchers			researchers					
4	principal investigators				principal investigators				
3	students			students					
4	graduate students				graduate students				
3	technicians			technicians					
4	animal technicians				animal technicians				
2	animal welfare stakeholders		animal welfare stakeholders						
3	animal rescue shelters			animal rescue shelters					
3	organizations			organizations					
4	Animal Welfare Institute				Animal Welfare Institute				
4	Association for Assessment and Accreditation of Laboratory Animal Care International				Association for Assessment and Accreditation of Laboratory Animal Care International				
4	Fund for the Replacement of Animals in Medical Experiments				Fund for the Replacement of Animals in Medical Experiments				
4	Institute for Laboratory Animal Research				Institute for Laboratory Animal Research				
4	Interagency Coordinating Committee on the Validation of Alternative Methods				Interagency Coordinating Committee on the Validation of Alternative Methods				
4	National Center for the Replacement Refinement and Reduction of Animals in Research				National Center for the Replacement Refinement and Reduction of Animals in Research				
4	Norecopa				Norecopa				
4	North American 3Rs Collaborative				North American 3Rs Collaborative				
4	Universities Federation for Animal Welfare				Universities Federation for Animal Welfare				
4	committees				committees				
5	advisory committees					advisory committees			
5	Institutional Animal Care and Use Committee					Institutional Animal Care and Use Committee			
4	research institutions				research institutions				
5	Center for Alternatives to Animal Testing					Center for Alternatives to Animal Testing			
3	government agencies			government agencies					
4	Department of Health and Human Services				Department of Health and Human Services				
5	National Center for Health Statistics					National Center for Health Statistics			
5	Food and Drug Administration					Food and Drug Administration			
6	Center for Food Safety and Applied Nutrition						Center for Food Safety and Applied Nutrition		
5	Centers for Disease Control and Prevention					Centers for Disease Control and Prevention			
5	National Institutes of Health					National Institutes of Health			
6	National Library of Medicine						National Library of Medicine		
7	National Center for Biotechnology Information							National Center for Biotechnology Information	
6	National Institute of Environmental Health Sciences						National Institute of Environmental Health Sciences		
6	Office of Laboratory Animal Welfare						Office of Laboratory Animal Welfare		
4	Interagency Coordinating Committee on the Validation of Alternative Methods				Interagency Coordinating Committee on the Validation of Alternative Methods				
4	National Aeronautics and Space Administration				National Aeronautics and Space Administration				
4	National Science Foundation				National Science Foundation				
4	United States Agency for International Development				United States Agency for International Development				
4	USDA				USDA				
5	U.S. Fish and Wildlife Service					U.S. Fish and Wildlife Service			
5	Animal and Plant Health Inspection Service					Animal and Plant Health Inspection Service			
6	National Animal Health Monitoring System						National Animal Health Monitoring System		
5	Agricultural Research Service					Agricultural Research Service			
6	USDA National Agricultural Library						USDA National Agricultural Library		
5	Food Safety and Inspection Service					Food Safety and Inspection Service			
5	USDA Forest Service					USDA Forest Service			
4	U.S. Department of the Interior				U.S. Department of the Interior				
4	United States Environmental Protection Agency				United States Environmental Protection Agency				
